train/critic_loss,time/episodes,rollout/ep_len_mean,train/n_updates,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,time/time_elapsed,time/fps
0.025780614875257016,10,50.0,350,500,0.0,-53.888925400000005,0.001,0.7143439650535583,5,87
0.011903723562136292,20,49.05,831,981,0.05,-41.79282429999999,0.001,0.934631793498993,12,80
0.030912780165672303,30,49.36666666666667,1331,1481,0.03333333333333333,-45.19351086666667,0.001,1.173468554019928,19,76
0.04112151701003313,40,49.525,1831,1981,0.025,-43.316828,0.001,1.4595148706436156,26,73
0.05997282888740301,50,49.62,2331,2481,0.02,-42.418651659999995,0.001,1.532577223777771,34,72
0.06895994238555431,60,49.68333333333333,2831,2981,0.016666666666666666,-42.26813326666667,0.001,1.625218563079834,41,71
0.06905137866735458,70,49.72857142857143,3331,3481,0.014285714285714285,-41.55486147142857,0.001,1.6830390882492066,48,71
0.07145919658243656,80,49.7625,3831,3981,0.0125,-40.7356638875,0.001,1.9315053939819335,55,71
0.07057963848114014,90,49.78888888888889,4331,4481,0.011111111111111112,-39.3364784,0.001,2.07032292842865,63,71
0.07608324564993381,100,49.81,4831,4981,0.01,-38.25914023,0.001,2.2160987424850465,70,70
0.08041803941130637,110,49.81,5331,5481,0.01,-34.698570870000005,0.001,2.29663339138031,77,70
0.14399390749633312,120,50.0,5831,5981,0.0,-34.085620060000004,0.001,2.4303153705596925,85,70
0.132551261857152,130,50.0,6331,6481,0.0,-31.155468659999997,0.001,2.5017143535614013,92,70
0.11300947442650795,140,50.0,6831,6981,0.0,-29.539491279999996,0.001,2.5689880657196045,99,69
0.09376844815909863,150,50.0,7331,7481,0.0,-27.19875301,0.001,2.5808418369293213,107,69
0.10031771250069141,160,50.0,7831,7981,0.0,-25.074629489999996,0.001,2.6679337882995604,114,69
0.09779461994767188,170,50.0,8331,8481,0.0,-23.489795530000002,0.001,2.6630635356903074,121,69
0.1270731706917286,180,50.0,8831,8981,0.0,-22.546024499999994,0.001,2.6857072353363036,129,69
0.15270202592015267,190,50.0,9331,9481,0.0,-23.325879399999998,0.001,2.741093330383301,136,69
0.18930338621139525,200,50.0,9831,9981,0.0,-23.88494787,0.001,2.8858130836486815,143,69
0.12269371472023151,210,49.77,10308,10458,0.01,-24.51157102,0.001,2.806289349283491,150,69
0.16416725546121597,220,49.53,10784,10934,0.02,-24.94478173,0.001,2.8646649932861328,157,69
0.1454627549648285,230,49.53,11284,11434,0.02,-25.013558720000002,0.001,3.0451763534545897,164,69
0.1765184833109379,240,49.22,11784,11903,0.03,-25.81948303,0.001,3.0007186222076414,171,69
0.20039891541004182,250,49.22,12253,12403,0.03,-26.545442110000007,0.001,2.9983670043945314,178,69
0.2483845353126526,260,49.22,12753,12903,0.03,-26.903424190000006,0.001,3.017765645980835,185,69
0.16975368916988373,270,49.22,13253,13403,0.03,-27.599503870000003,0.001,3.004640607833862,192,69
0.15798077702522278,280,49.22,13753,13903,0.03,-26.922821929999994,0.001,2.8574225997924803,200,69
0.19283358350396157,290,49.22,14253,14403,0.03,-25.8777066,0.001,2.6545350170135498,207,69
0.17704035818576813,300,49.22,14753,14903,0.03,-24.682687970000003,0.001,2.812407388687134,214,69
0.19261318936944008,310,49.45,15253,15403,0.02,-25.73357721,0.001,2.7613494300842287,221,69
0.18278929218649864,320,49.69,15753,15903,0.01,-24.819729640000006,0.001,2.920941114425659,229,69
0.19321686774492264,330,49.69,16253,16403,0.01,-24.166882649999998,0.001,2.7658097076416017,236,69
0.20271715328097342,340,50.0,16753,16903,0.0,-22.953866359999996,0.001,2.741647243499756,243,69
0.2011135271191597,350,50.0,17253,17403,0.0,-23.14501401,0.001,2.7822839546203615,251,69
0.1695265638477662,360,49.67,17720,17870,0.01,-22.42617198,0.001,2.7510038481818304,258,69
0.1802198226749897,370,49.67,18220,18370,0.01,-21.231974909999998,0.001,2.803182535171509,265,69
0.19847451388835907,380,49.67,18720,18870,0.01,-21.244077649999998,0.001,2.696861686706543,272,69
0.18057733178138732,390,49.67,19220,19370,0.01,-20.74954687,0.001,2.7998250484466554,280,69
0.20257147446274756,400,49.67,19720,19870,0.01,-20.69173202,0.001,2.8904635429382326,287,69
0.19656367599964142,410,49.29,20182,20332,0.02,-18.69660858,0.001,2.99898890654246,294,69
0.22799524888396264,420,49.29,20682,20832,0.02,-18.5639102,0.001,2.8759436130523683,301,69
0.17534490123391153,430,49.29,21182,21332,0.02,-18.210123170000003,0.001,2.7955602169036866,309,69
0.1933787025511265,440,48.87,21682,21790,0.03,-17.783743429999998,0.001,2.7623886108398437,316,68
0.20303471595048905,450,48.67,22120,22270,0.04,-17.209372050000002,0.001,2.7863547515869143,323,68
0.2026483929157257,460,49.0,22620,22770,0.03,-17.2602662,0.001,2.5750559091567995,330,68
0.17783281326293945,470,49.0,23120,23270,0.03,-17.50677458,0.001,2.562590503692627,337,68
0.21208888977766038,480,49.0,23620,23770,0.03,-17.42181748,0.001,2.6748301219940185,345,68
0.19077903538942337,490,48.86,24106,24256,0.04,-17.3437461,0.001,2.6655199670791627,353,68
0.19544029980897903,500,48.68,24588,24738,0.05,-16.856043810000003,0.001,2.6587842178344725,360,68
0.201490228921175,510,49.06,25088,25238,0.04,-17.263083260000002,0.001,2.705894727706909,367,68
0.19291619956493378,520,49.06,25588,25738,0.04,-17.503675219999998,0.001,2.6275556755065916,375,68
0.20642623126506807,530,49.06,26088,26238,0.04,-18.818348750000002,0.001,2.777427091598511,383,68
0.18638014961634913,540,49.29,26569,26719,0.04,-19.479756059999996,0.001,2.7286107858022053,390,68
0.20230884343385697,550,49.49,27069,27219,0.03,-19.60328368,0.001,2.7619313621520996,398,68
0.18586807176470757,560,49.49,27569,27719,0.03,-19.48507721,0.001,2.7621631050109863,406,68
0.21658265739679336,570,49.49,28069,28219,0.03,-19.45829644,0.001,2.74090518951416,413,68
