train/n_updates,rollout/ep_len_mean,time/fps,train/critic_loss,time/total_timesteps,rollout/success_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,time/episodes,train/ent_coef_loss
378,47.9,87,0.2543847858905792,479,0.2,5,-13.298185348510742,-11.990545299999999,0.0003,0.8931776881217957,10,-1.3243073225021362
831,46.6,81,0.79790860414505,932,0.15,11,-19.20486068725586,-12.253697149999999,0.0003,0.7795321345329285,20,-2.9379279613494873
1300,46.7,79,0.20014825463294983,1401,0.13333333333333333,17,-24.956640243530273,-13.042438933333333,0.0003,0.6771186590194702,30,-4.568863391876221
1742,46.075,79,0.3354477286338806,1843,0.15,23,-29.478694915771484,-13.0882226,0.0003,0.5930501222610474,40,-6.1159257888793945
2195,45.92,78,0.3176773190498352,2296,0.14,29,-33.28220748901367,-13.28784686,0.0003,0.5177838802337646,50,-7.6995110511779785
2650,45.85,77,0.5648883581161499,2751,0.13333333333333333,35,-35.98273468017578,-13.530127483333336,0.0003,0.451838880777359,60,-9.325408935546875
3150,46.44285714285714,77,0.4902588129043579,3251,0.11428571428571428,42,-38.876197814941406,-13.8045775,0.0003,0.38905996084213257,70,-11.031423568725586
3650,46.8875,77,3.678631067276001,3751,0.1,48,-40.84212112426758,-14.293058687499999,0.0003,0.335114061832428,80,-12.634255409240723
4150,47.233333333333334,76,0.775402307510376,4251,0.08888888888888889,55,-42.09131622314453,-14.785997244444443,0.0003,0.2887716293334961,90,-14.202478408813477
4650,47.51,77,2.2847251892089844,4751,0.08,61,-43.174320220947266,-15.23703882,0.0003,0.2489386945962906,100,-15.811746597290039
5150,47.72,76,10.581823348999023,5251,0.06,68,-43.74583435058594,-16.13917762,0.0003,0.21465234458446503,110,-17.288135528564453
5650,48.19,77,0.4396921396255493,5751,0.05,74,-44.281185150146484,-17.030288329999998,0.0003,0.185251384973526,120,-18.97471809387207
6102,48.02,77,5.935019493103027,6203,0.05,80,-44.010223388671875,-17.6342198,0.0003,0.16222424805164337,130,-19.773937225341797
6602,48.6,77,0.40744906663894653,6703,0.03,86,-43.929893493652344,-18.242081470000002,0.0003,0.14016422629356384,140,-21.283058166503906
7102,49.07,77,3.112142562866211,7203,0.02,92,-43.56911087036133,-19.24704531,0.0003,0.12120424956083298,150,-22.452621459960938
7602,49.52,77,0.33761030435562134,7703,0.01,98,-43.22032165527344,-20.4325961,0.0003,0.10488538444042206,160,-23.364116668701172
8102,49.52,77,0.4129091203212738,8203,0.01,105,-42.22887420654297,-21.36614922,0.0003,0.09093613922595978,170,-23.155235290527344
8602,49.52,77,0.2878408432006836,8703,0.01,111,-41.26736068725586,-21.59181771,0.0003,0.07912033796310425,180,-22.685989379882812
9102,49.52,77,0.3992132842540741,9203,0.01,118,-41.001564025878906,-21.99994643,0.0003,0.06947611272335052,190,-21.469581604003906
9510,48.6,77,0.32059672474861145,9611,0.03,123,-40.301597595214844,-22.546994599999998,0.0003,0.06282197684049606,200,-20.271114349365234
10010,48.6,77,4.983734130859375,10111,0.03,130,-39.73571014404297,-22.886043390000008,0.0003,0.0554254911839962,210,-19.600875854492188
10510,48.6,77,3.6153485774993896,10611,0.03,136,-38.95370864868164,-23.05091062,0.0003,0.04929598048329353,220,-16.769926071166992
11010,49.08,77,0.26103508472442627,11111,0.02,142,-39.479469299316406,-22.863609469999997,0.0003,0.044035397469997406,230,-13.3968505859375
11510,49.08,77,0.23483479022979736,11611,0.02,149,-38.40718078613281,-22.824568290000002,0.0003,0.04048345983028412,240,-9.658153533935547
12010,49.08,77,0.19808171689510345,12111,0.02,155,-37.84465026855469,-21.97417769,0.0003,0.037757664918899536,250,-7.316600799560547
12510,49.08,77,0.17986074090003967,12611,0.02,162,-37.84412384033203,-21.11319031,0.0003,0.03474698215723038,260,-8.482559204101562
13010,49.08,77,0.3941856622695923,13111,0.02,168,-37.39369201660156,-21.788859789999997,0.0003,0.03231934458017349,270,-2.839944362640381
13510,49.08,77,0.279659628868103,13611,0.02,175,-37.12076187133789,-23.695259729999993,0.0003,0.03036235086619854,280,-2.7962870597839355
14010,49.08,77,0.6300634145736694,14111,0.02,181,-36.5968017578125,-25.52139091,0.0003,0.032215796411037445,290,-5.1294846534729
14510,50.0,78,0.15914589166641235,14611,0.0,187,-37.040557861328125,-26.629923300000005,0.0003,0.028632985427975655,300,-2.854222297668457
15010,50.0,78,0.14484652876853943,15111,0.0,193,-36.42823028564453,-26.56696952,0.0003,0.026888972148299217,310,-1.7833583354949951
15510,50.0,78,0.14343678951263428,15611,0.0,199,-36.074737548828125,-26.047034840000002,0.0003,0.024677950888872147,320,-2.5468060970306396
16010,50.0,78,0.2103002667427063,16111,0.0,205,-36.1269645690918,-25.761174859999997,0.0003,0.02318543568253517,330,-1.1716949939727783
16510,50.0,78,0.12185069173574448,16611,0.0,211,-34.79907989501953,-25.24336266,0.0003,0.022560667246580124,340,-1.3678040504455566
17010,50.0,78,0.11164434254169464,17111,0.0,218,-34.27532196044922,-26.214750529999996,0.0003,0.02146672084927559,350,-2.141688823699951
17510,50.0,78,1.8488562107086182,17611,0.0,224,-34.67398452758789,-27.850670549999997,0.0003,0.01915658637881279,360,0.44487881660461426
18010,50.0,78,0.15278834104537964,18111,0.0,230,-33.157981872558594,-29.396049280000003,0.0003,0.018110474571585655,370,-4.2246270179748535
18510,50.0,78,0.7226825952529907,18611,0.0,236,-32.48271179199219,-29.199062830000003,0.0003,0.016537319868803024,380,-2.1994152069091797
19010,50.0,78,0.11656830459833145,19111,0.0,242,-32.2483024597168,-27.749774580000004,0.0003,0.015628159046173096,390,1.0329416990280151
19510,50.0,78,0.125248983502388,19611,0.0,248,-31.732635498046875,-25.935181320000005,0.0003,0.015530893579125404,400,1.09193754196167
20010,50.0,78,0.20199981331825256,20111,0.0,255,-30.57146453857422,-25.19175056,0.0003,0.016031187027692795,410,-0.6723576784133911
20510,50.0,78,0.09544920921325684,20611,0.0,261,-30.362560272216797,-25.4496133,0.0003,0.015804244205355644,420,-2.5188841819763184
21010,50.0,78,0.1305062174797058,21111,0.0,267,-30.52819061279297,-25.54725566,0.0003,0.015651188790798187,430,-0.9082062840461731
21415,49.05,78,0.1126183271408081,21516,0.02,272,-29.843612670898438,-25.32225962,0.0003,0.015746407210826874,440,-1.5740861892700195
21775,47.65,78,0.5185103416442871,21876,0.05,277,-29.02817153930664,-23.93578609,0.0003,0.01631062477827072,450,0.2437988817691803
22180,46.7,78,0.1570163369178772,22281,0.07,282,-28.39291763305664,-21.53230854,0.0003,0.016263512894511223,460,-0.6336830854415894
22680,46.7,78,0.11025923490524292,22781,0.07,288,-28.33905792236328,-18.592156900000003,0.0003,0.017416248098015785,470,2.687598943710327
23180,46.7,78,0.08511818945407867,23281,0.07,294,-27.997602462768555,-16.96837936,0.0003,0.017053641378879547,480,-2.288470983505249
23680,46.7,79,0.12915529310703278,23781,0.07,300,-27.335012435913086,-16.58165686,0.0003,0.015990395098924637,490,-0.049390196800231934
24180,46.7,79,0.086247518658638,24281,0.07,307,-26.897319793701172,-16.615005,0.0003,0.014511430636048317,500,0.8930665254592896
24680,46.7,79,0.09410908073186874,24781,0.07,313,-26.740230560302734,-16.668938510000004,0.0003,0.014026490971446037,510,1.3048886060714722
25180,46.7,79,0.08590163290500641,25281,0.07,319,-25.4974422454834,-16.09657706,0.0003,0.014445671811699867,520,1.13199782371521
25680,46.7,78,0.07235817611217499,25781,0.07,326,-24.953832626342773,-15.773195480000002,0.0003,0.013597800396382809,530,-1.9152461290359497
26053,46.38,78,0.0791284441947937,26154,0.08,331,-24.63602066040039,-15.41646196,0.0003,0.013130249455571175,540,-3.0359859466552734
26337,45.62,78,1.7719570398330688,26438,0.1,335,-24.212173461914062,-14.712214070000002,0.0003,0.012581530027091503,550,0.3437385857105255
26797,46.17,78,0.06893482804298401,26898,0.09,340,-23.675512313842773,-14.224593870000001,0.0003,0.011861428618431091,560,1.6780017614364624
27252,45.72,78,0.07944328337907791,27353,0.11,346,-23.11516761779785,-13.125391679999998,0.0003,0.011718862690031528,570,-0.40284407138824463
27663,44.83,78,0.09246364235877991,27764,0.14,351,-23.00445556640625,-11.54876375,0.0003,0.011685342527925968,580,-0.18428516387939453
28123,44.43,78,0.07739774882793427,28224,0.15,357,-22.670913696289062,-9.912113,0.0003,0.01195034384727478,590,2.408529758453369
28623,44.43,79,0.13081273436546326,28724,0.15,363,-22.472721099853516,-8.82224495,0.0003,0.012323768809437752,600,0.984776496887207
29049,43.69,79,0.09780488908290863,29150,0.17,368,-21.652244567871094,-7.745996570000001,0.0003,0.012269999831914902,610,-0.35121703147888184
29522,43.42,79,0.9482593536376953,29623,0.18,374,-21.326807022094727,-7.19321519,0.0003,0.012293759733438492,620,0.09656786918640137
29929,42.49,79,0.08234918117523193,30030,0.21,380,-20.932186126708984,-6.413344110000001,0.0003,0.012286493554711342,630,-1.2375866174697876
30387,43.34,79,0.054592616856098175,30488,0.19,385,-21.16162872314453,-6.730172870000001,0.0003,0.012541960924863815,640,1.4975495338439941
30887,45.5,78,1.2153595685958862,30988,0.14,392,-20.58844757080078,-7.53550353,0.0003,0.012639815919101238,650,2.1098296642303467
31342,45.45,78,1.9603378772735596,31443,0.14,398,-20.132553100585938,-8.171467490000001,0.0003,0.012597588822245598,660,-0.8591150045394897
31799,45.47,78,0.08904924988746643,31900,0.13,404,-19.915576934814453,-8.49864982,0.0003,0.011783710680902004,670,-1.008371114730835
32260,45.97,78,0.057595331221818924,32361,0.11,409,-19.787494659423828,-9.152915890000001,0.0003,0.011915418319404125,680,0.42671382427215576
32713,45.9,79,0.06122661381959915,32814,0.11,415,-19.507015228271484,-9.31550937,0.0003,0.012938110157847404,690,2.8354849815368652
33123,45.0,78,0.06036781519651413,33224,0.13,420,-19.230329513549805,-9.23755931,0.0003,0.012368523515760899,700,1.715840220451355
33623,45.74,79,0.06693312525749207,33724,0.11,426,-18.58775520324707,-9.31972551,0.0003,0.012014875188469887,710,-3.8418846130371094
34123,46.01,79,0.06998822838068008,34224,0.1,433,-18.252134323120117,-9.090301219999999,0.0003,0.011242648586630821,720,-0.8583549857139587
34623,46.94,79,0.04824879765510559,34724,0.07,439,-18.035049438476562,-9.15976269,0.0003,0.010684870183467865,730,-2.1139087677001953
35080,46.93,79,0.05858875811100006,35181,0.07,445,-17.732675552368164,-8.73777196,0.0003,0.010509905405342579,740,-1.2256712913513184
35580,46.93,79,0.04753369837999344,35681,0.07,450,-17.717269897460938,-8.16221002,0.0003,0.009750498458743095,750,1.192580223083496
36037,46.95,79,0.04594702273607254,36138,0.07,456,-16.866870880126953,-7.642485450000001,0.0003,0.009968035854399204,760,1.8264611959457397
36537,47.38,79,0.06363936513662338,36638,0.06,462,-16.785566329956055,-7.307437999999999,0.0003,0.009923607110977173,770,-1.2055656909942627
37011,47.51,79,0.05672728270292282,37112,0.06,468,-16.34515380859375,-6.7250824100000015,0.0003,0.009661052376031876,780,0.3346216380596161
37469,47.56,79,0.053903549909591675,37570,0.06,474,-16.78874397277832,-6.54091048,0.0003,0.009390050545334816,790,-1.29555082321167
37969,48.46,79,0.49100828170776367,38070,0.04,480,-16.25072479248047,-6.64266214,0.0003,0.00915481150150299,800,-1.8454360961914062
38448,48.25,79,0.2762150168418884,38549,0.05,486,-15.185367584228516,-6.76669473,0.0003,0.008897989057004452,810,4.88787841796875
38914,47.91,79,0.05012297257781029,39015,0.06,492,-15.12993049621582,-6.767847959999999,0.0003,0.008372246287763119,820,-1.490360975265503
39382,47.59,79,0.049631938338279724,39483,0.07,497,-14.567044258117676,-6.849634120000001,0.0003,0.008109916932880878,830,-0.9635639190673828
39882,48.02,79,0.03271154314279556,39983,0.06,504,-14.647551536560059,-6.86941578,0.0003,0.007981400936841965,840,-0.2395777702331543
40340,47.6,79,0.04215122386813164,40441,0.07,509,-14.03985595703125,-6.9164750800000006,0.0003,0.00775126600638032,850,-1.2401384115219116
40703,46.66,79,0.0352485328912735,40804,0.09,514,-13.850790023803711,-6.694388080000001,0.0003,0.007342153694480658,860,1.3779349327087402
41013,44.76,79,0.0411047525703907,41114,0.13,518,-14.075775146484375,-6.450669979999999,0.0003,0.007187698036432266,870,1.570111632347107
41393,43.82,79,0.044981684535741806,41494,0.15,523,-13.728217124938965,-6.39622584,0.0003,0.0067899227142333984,880,0.443392276763916
41846,43.77,79,0.03765774890780449,41947,0.15,528,-12.690794944763184,-6.426758660000001,0.0003,0.006445540115237236,890,-2.9736011028289795
42175,42.06,79,0.07263056933879852,42276,0.19,532,-13.345705032348633,-6.184901960000001,0.0003,0.006339940242469311,900,2.44268798828125
42630,41.82,79,0.18652933835983276,42731,0.19,538,-12.84536075592041,-6.03118565,0.0003,0.006456530652940273,910,0.15383005142211914
43130,42.16,79,0.05020131915807724,43231,0.18,544,-12.579910278320312,-6.07599684,0.0003,0.006577454041689634,920,0.8091939687728882
43545,41.63,79,0.46576234698295593,43646,0.19,550,-12.251937866210938,-5.82147007,0.0003,0.006655164994299412,930,0.4433136582374573
43935,40.53,79,0.4918660819530487,44036,0.22,555,-11.619394302368164,-5.63657198,0.0003,0.006279115565121174,940,0.8599790334701538
44435,40.95,79,0.4340108036994934,44536,0.21,561,-11.584260940551758,-5.714496939999999,0.0003,0.006352314259856939,950,-0.2031843662261963
44935,42.32,79,0.028916096314787865,45036,0.18,568,-11.244270324707031,-6.1165742,0.0003,0.006463776342570782,960,0.6721181869506836
45365,43.52,79,0.025633830577135086,45466,0.16,573,-10.885639190673828,-6.268420450000001,0.0003,0.006236388813704252,970,-2.9670934677124023
45779,43.86,79,0.26468509435653687,45880,0.15,578,-10.49254035949707,-6.20424992,0.0003,0.006199053023010492,980,-0.9319621324539185
46279,44.33,79,0.024411097168922424,46380,0.14,585,-10.432140350341797,-6.2495738900000015,0.0003,0.006156268995255232,990,-1.1286005973815918
46685,45.1,79,0.028335344046354294,46786,0.12,590,-9.883636474609375,-6.22967992,0.0003,0.006186918821185827,1000,-2.0709898471832275
47125,44.95,79,0.028705433011054993,47226,0.13,596,-9.776503562927246,-6.461146919999999,0.0003,0.005914116743952036,1010,-0.383919358253479
47538,44.08,79,0.3156973421573639,47639,0.15,601,-9.48287582397461,-6.31147078,0.0003,0.0057426998391747475,1020,1.966831922531128
48038,44.93,79,0.02594355307519436,48139,0.13,607,-9.200786590576172,-6.454496090000001,0.0003,0.005560670047998428,1030,-1.8267292976379395
48477,45.42,79,0.023136571049690247,48578,0.12,612,-9.239845275878906,-6.48913274,0.0003,0.005340384319424629,1040,-2.881333827972412
48929,44.94,79,0.18343064188957214,49030,0.13,617,-9.035663604736328,-6.205181109999999,0.0003,0.005294397938996553,1050,0.6736996173858643
49383,44.48,79,0.02380320057272911,49484,0.14,623,-9.09044361114502,-5.896952869999999,0.0003,0.005322812125086784,1060,-0.7687729001045227
49721,43.56,79,0.018700862303376198,49822,0.16,627,-8.735870361328125,-5.6674814300000005,0.0003,0.005156196188181639,1070,1.1038144826889038
